"customerid","contract","tenure","monthlycharges","churn","internetservice","paymentmethod","health_score"
"7590-VHVEG","Month-to-month",1,29.85,"No","DSL","Electronic check",30
"5575-GNVDE","One year",34,56.95,"No","DSL","Mailed check",70
"3668-QPYBK","Month-to-month",2,53.85,"Yes","DSL","Mailed check",40
"7795-CFOCW","One year",45,42.3,"No","DSL","Bank transfer (automatic)",70
"9237-HQITU","Month-to-month",2,70.7,"Yes","Fiber optic","Electronic check",50
"9305-CDSKC","Month-to-month",8,99.65,"Yes","Fiber optic","Electronic check",50
"1452-KIOVK","Month-to-month",22,89.1,"No","Fiber optic","Credit card (automatic)",60
"6713-OKOMC","Month-to-month",10,29.75,"No","DSL","Mailed check",30
"7892-POOKP","Month-to-month",28,104.8,"Yes","Fiber optic","Electronic check",70
"6388-TABGU","One year",62,56.15,"No","DSL","Bank transfer (automatic)",80
"9763-GRSKD","Month-to-month",13,49.95,"No","DSL","Mailed check",50
"7469-LKBCI","Two year",16,18.95,"No","No","Credit card (automatic)",60
"8091-TTVAX","One year",58,100.35,"No","Fiber optic","Credit card (automatic)",90
"0280-XJGEX","Month-to-month",49,103.7,"Yes","Fiber optic","Bank transfer (automatic)",80
"5129-JLPIS","Month-to-month",25,105.5,"No","Fiber optic","Electronic check",70
"3655-SNQYZ","Two year",69,113.25,"No","Fiber optic","Credit card (automatic)",100
"8191-XWSZG","One year",52,20.65,"No","No","Mailed check",70
"9959-WOFKT","Two year",71,106.7,"No","Fiber optic","Bank transfer (automatic)",100
"4190-MFLUW","Month-to-month",10,55.2,"Yes","DSL","Credit card (automatic)",40
"4183-MYFRB","Month-to-month",21,90.05,"No","Fiber optic","Electronic check",60
"8779-QRDMV","Month-to-month",1,39.65,"Yes","DSL","Electronic check",40
"1680-VDCWW","One year",12,19.8,"No","No","Bank transfer (automatic)",40
"1066-JKSGK","Month-to-month",1,20.15,"Yes","No","Mailed check",30
"3638-WEABW","Two year",58,59.9,"No","DSL","Credit card (automatic)",90
"6322-HRPFA","Month-to-month",49,59.6,"No","DSL","Credit card (automatic)",70
"6865-JZNKO","Month-to-month",30,55.3,"No","DSL","Bank transfer (automatic)",60
"6467-CHFZW","Month-to-month",47,99.35,"Yes","Fiber optic","Electronic check",70
"8665-UTDHZ","Month-to-month",1,30.2,"Yes","DSL","Electronic check",40
"5248-YGIJN","Two year",72,90.25,"No","DSL","Credit card (automatic)",100
"8773-HHUOZ","Month-to-month",17,64.7,"Yes","DSL","Mailed check",50
"3841-NFECX","Two year",71,96.35,"No","Fiber optic","Credit card (automatic)",100
"4929-XIHVW","Month-to-month",2,95.5,"No","Fiber optic","Credit card (automatic)",50
"6827-IEAUQ","One year",27,66.15,"No","DSL","Mailed check",70
"7310-EGVHZ","Month-to-month",1,20.2,"No","No","Bank transfer (automatic)",30
"3413-BMNZE","Month-to-month",1,45.25,"No","DSL","Bank transfer (automatic)",40
"6234-RAAPL","Two year",72,99.9,"No","Fiber optic","Bank transfer (automatic)",100
"6047-YHPVI","Month-to-month",5,69.7,"Yes","Fiber optic","Electronic check",40
"6572-ADKRS","Month-to-month",46,74.8,"No","Fiber optic","Credit card (automatic)",70
"5380-WJKOV","Month-to-month",34,106.35,"Yes","Fiber optic","Electronic check",70
"8168-UQWWF","Month-to-month",11,97.85,"Yes","Fiber optic","Bank transfer (automatic)",50
"8865-TNMNX","One year",10,49.55,"No","DSL","Mailed check",50
"9489-DEDVP","Two year",70,69.2,"No","DSL","Credit card (automatic)",90
"9867-JCZSP","One year",17,20.75,"No","No","Mailed check",50
"4671-VJLCL","Two year",63,79.85,"No","DSL","Credit card (automatic)",100
"4080-IIARD","Month-to-month",13,76.2,"No","DSL","Electronic check",60
"3714-NTNFO","Month-to-month",49,84.5,"No","Fiber optic","Electronic check",80
"5948-UJZLF","Month-to-month",2,49.25,"No","DSL","Mailed check",40
"7760-OYPDY","Month-to-month",2,80.65,"Yes","Fiber optic","Electronic check",50
"7639-LIAYI","Two year",52,79.75,"No","DSL","Credit card (automatic)",100
"2954-PIBKO","Two year",69,64.15,"No","DSL","Credit card (automatic)",90
"8012-SOUDQ","Month-to-month",43,90.25,"No","Fiber optic","Electronic check",70
"9420-LOJKX","Month-to-month",15,99.1,"Yes","Fiber optic","Credit card (automatic)",60
"6575-SUVOI","Month-to-month",25,69.5,"No","DSL","Credit card (automatic)",60
"7495-OOKFY","Month-to-month",8,80.65,"Yes","Fiber optic","Credit card (automatic)",50
"4667-QONEA","One year",60,74.85,"No","DSL","Credit card (automatic)",90
"1658-BYGOY","Month-to-month",18,95.45,"Yes","Fiber optic","Electronic check",60
"8769-KKTPH","One year",63,99.65,"No","Fiber optic","Credit card (automatic)",90
"5067-XJQFU","One year",66,108.45,"No","Fiber optic","Electronic check",90
"3957-SQXML","Two year",34,24.95,"No","No","Credit card (automatic)",70
"5954-BDFSG","Two year",72,107.5,"No","Fiber optic","Credit card (automatic)",100
